id,question_id,選項A,選項B,選項C,選項D
S1101,T1101,"透過大量傳播,知識就會變成真理","與其獨自苦讀,不如多與他人交流","反覆誦讀,有助於將資訊內化為大腦深層的記憶","能統整所學並轉述給別人,才算是真正掌握知識"
S1102,T1102,君翰,思涵,偉同,嘉恩
S1103,T1103,"不同文化的碰撞,可融合並產生新的火花","外來文化的入侵,讓在地的傳統文化日漸消失","臺灣原住民的文化,影響了漢人與日本人的穿著","觀察不同族群的服飾,就能了解不同文化的差異"
S1104,T1104,金文 → 楷書 → 小篆 → 隸書,金文 → 小篆 → 隸書 → 楷書,小篆 → 隸書 → 金文 → 楷書,小篆 → 金文 → 楷書 → 隸書
S1105,T1105,欲望會創造新的發明,科技的進步使生活更便利,長期沉溺於賭博之中容易讓人迷失自我,不用現金支付使人對花錢的感受變得較遲鈍
S1106,T1106,東道主法國隊屈居第二:法國是主辦國,"我國九局下逆轉,一分氣走韓國:我國轉輸為贏",波多黎各選手爆冷門奪金:各界看好波多黎各選手奪金,"我國女將輕取哥倫比亞,晉級八強:我國女將大勝哥倫比亞"
S1107,T1107,甲,乙,丙,丁
S1108,T1108,門人買錯硯臺卻不知道,陸公惋惜是因石工技藝不佳,門人請人磨平硯眼是自作聰明,陸公對門人購硯的價格感到驚訝
S1109,T1109,大眾的隱私權常常不受到尊重,網路直播者多少帶有表演性質,滿足他人偷窺欲就可成為名人,孤寂的人總是害怕他人的眼光
S1110,T1110,"因其貌不揚被小看,沒想到靠著精湛演技成為影帝","不勞而獲的錢財,因為來得容易,往往被輕易揮霍","以作弊手段考上名校,最後卻因適應不良而中輟學業","當不切實際的夢想碰到冷酷的現實,也只能化為泡影"
S1111,T1111,,,,
S1112,T1112,悲傷哽「咽」/食不下「咽」,悶不「吭」聲/引「吭」高歌,語帶「禪」機/「禪」讓政治,「撒」謊成習/恃寵「撒」嬌
S1113,T1113,"中式食法多道並陳,西式則否",中菜較西菜更講究菜餚的熱度,西餐的上菜速度及料理方式費時又費工,西式食法盡失中菜大鍋烹煮整肉的風味
S1114,T1114,「矯」世勵俗,「矯」若遊龍,「矯」捷身手,「矯」託天命
S1115,T1115,"這艘郵輪車水馬龍,可搭載數千名遊客","他個性害羞,遇到陌生人時總是別開生面","他為了得到好成績而因噎廢食,每晚都認真讀書","這裡曾有許多珍藏,如今僅剩吉光片羽,令人唏噓"
S1116,T1116,說書人,算命師,外交使臣,監察御史
S1117,T1117,"此文件攸關計畫的成敗,你千萬要小心遞送","在遇到困難時,他反而不屈不撓,堅持妥協","他明明做錯事情還推給別人,真是死不賴帳","疫情蔓延的時候,我們更要一起對抗意志力"
S1118,T1118,熬煮前須加足適量的水,熬煮時可適度添加米飯,熬煮過程中可加酒提味,熬煮過久容易生出糟粕
S1119,T1119,杞人「ㄧㄡ」天/養尊處「ㄧㄡ」,「ㄅㄢ」駁陸離/「ㄅㄢ」斕奪目,自相「ㄇㄠˊ」盾/「ㄇㄠˊ」塞頓開,細嚼「ㄇㄢˋ」嚥/「ㄇㄢˋ」不經心
S1120,T1120,"就體裁而言,這是一首七言律詩","就形式而言,對仗工整,句句押韻",以「試羅衣」、「雪尚飛」對比兩地氣候差異,以遊子口吻寫出羈旅在外、難以返回的鄉愁
S1121,T1121,悶	ㄇㄣˋ	心中不愉快,弦ㄒㄧㄢˊ繫緊在弓上的索、線,燈ㄉㄥ照明的發光器具,刪ㄕㄢ以刀削去簡冊有問題的內容
S1122,T1122,不自隘其器/不自吝其光,如逆水行舟/似雪中取火,宜自知其量/宜自晦其光,無一時之患/有終身之憂
S1123,T1123,"人死留名,虎死留皮","不慕榮利,唯願逍遙","神龜雖壽,猶有竟時","寧鳴而死,不默而生"
S1124,T1124,"先提出世俗看法,再以不同論點反駁","先從正、反兩面論述,再另舉他例說明","先記敘孫叔敖事蹟,再評論楚莊王功績","先以楚莊王觀點闡述,再從孫叔敖立場反駁"
S1125,T1125,慢性肝病為當時國人十大死因之一,腦血管疾病為當時國人第三大死因,蓄意自我傷害為當時國人十大死因之一,肺炎、高血壓性疾病、腎臟疾病皆為當時國人十大死因
S1126,T1126,"可電話預約時間,專人到府收件",維修費用依家電的大小而有不同,"只要維修合於規定的家電,都需繳交工本費","領件時若未攜帶取貨聯單,可以維修單代替"
S1127,T1127,"小強:週一 14:00 送修咖啡機,週四 09:00 就拿到了","小顏:週三 10:00 送修飲水機,週五 13:00 就領件了","小燕:週六 16:00 送修電子鍋,接到通知後憑取貨聯單領回","小龍:週二 08:00 送修熱水瓶,先繳交50元特殊材料費才能檢修"
S1128,T1128,甲句中「每一個坑洞」:人生不同的挑戰,乙句中「方正的直角」:作者獨特的個性,丙句中「紙」:作者自己的本質,丁句中「蟑螂」:卑鄙惡劣的個人特質
S1129,T1129,"要到失去之後,才知道曾經擁有的美好","為了他人而改變自己,最後卻迷失自我","年輕時未確定方向,等到一事無成才後悔莫及","曾經轟轟烈烈的絢爛,誰知到頭來都是一場空"
S1130,T1130,甲:政府對人民的監控就像陽光一樣無孔不入,"乙:長時間的緊繃,讓人變得冷酷麻木",丙:政府假稱瘟疫以掩蓋屠殺人民的真相,"丁:巡邏隊刻意威嚇居民,製造恐懼與猜疑"
S1131,T1131,"人心彼此猜疑,不再相互信任","氣溫持續上升,民眾難以忍受","疫情不斷惡化,人們失去求生欲","群眾發生暴動,突破城門封鎖線"
S1132,T1132,美術館坐落在山間,對環境清潔有高度的要求,館區的電動車由機械人駕駛,接待中心與美術館有一段距離
S1133,T1133,"工作人員親切的微笑,流露內心的祥和","降低人為聲音的干擾,以呈現寧靜氛圍","所有物件一律為白色,象徵藝術的純淨","讓觀眾貼近展品,顯現人與藝術無隔閡"
S1134,T1134,紙本書才能傳承經典與藝術,閱讀紙本書不受晝夜的限制,紙本書可讓文字散發不同的渲染力,城鄉數位落差因紙本書才得以彌補
S1135,T1135,以多面向的特質比較來強調數位資訊不如紙本,用夜以繼日來說明紙本閱讀是數位閱讀的延續,"透過圖表的分析,陳述紙本閱讀無限發展的可能","藉由晝夜的對照,表達紙本與數位閱讀應該並存"
S1136,T1136,被鍊著的人/營火/舉雕像的人,被鍊著的人/舉雕像的人/營火,舉雕像的人/營火/被鍊著的人,舉雕像的人/被鍊著的人/營火
S1137,T1137,受迫的奴隸,孤獨的先知,命運的主宰,蒙昧的愚者
S1138,T1138,多數人相信的事未必為真,自以為是往往會招致滅亡,"面向陽光,影子就會在你背後","堅定信仰,心靈才能得到自由"
S1139,T1139,四銖錢 > 吳錢 > 鄧通錢,四銖錢 = 鄧通錢 > 吳錢,吳錢 > 四銖錢 > 鄧通錢,吳錢 > 鄧通錢 = 四銖錢
S1140,T1140,"鄧通與吳王同時自鑄莢錢,導致莢錢過多",鄧通與吳王所鑄銅錢上應有「半兩」字樣,"鄧通叛逆謀反,文帝遂下令禁止私鑄銅錢","鄧通所鑄錢布天下,故文帝賜其銅山一座"
S1141,T1141,病其與賀拔惎為友,乃密令門人申意,悉以實告,大怒而去
S1142,T1142,白敏中向王起推薦賀拔惎取代自己,"賀拔惎已知此次科考內幕,只好破格錄取封口","比起白敏中的前倨後恭,賀拔惎的真誠顯得更為可貴","白敏中把賀拔惎看得比狀元還重,可知賀拔惎有過人之處"