id,year,type,subject,title,description,answer
T1401,114,單題,現代詩文閱讀單題,根據資料，右側詐騙簡訊使用了哪一種話術？,,D
T1402,114,單題,現代詩文閱讀單題,若要拍攝清代刑案電視劇，下列情節何者最符合本文的敘述？,「清代驗屍跟現代不同，驗屍一定是在『屍所』，即屍體所在之處，可能是案發現場，也可能是陳屍處。清代的程序非常強調在屍所驗屍，禁止將屍體帶到他處檢驗。同時十分強調涉案人、關係人和家屬必須在場，一般大眾也可以圍觀。目的在於使驗屍過程中，關於屍傷屍狀的觀察都能夠『公同一干人眾，質對明白』。」,B
T1403,114,單題,國學常識（含文字結構與演變),根據下表中的字形，何者的造字原則與「月」字相同？,,B
T1404,114,單題,現代詩文閱讀單題,關於右側這首詩的解讀，下列何者最恰當？,,B
T1405,114,單題,現代詩文閱讀單題,下列四個不同字體的「封」字，何者不會收錄在其中？,東漢 許慎《說文解字》收錄的字體以小篆為主，兼採秦以前的古文字與籀文。,A
T1406,114,單題,詞語,根據以上資料，下列推論何者最恰當？,,A
T1407,114,單題,現代詩文閱讀單題,根據甲、乙二圖，下列敘述何者最恰當？,,B
T1408,114,單題,現代詩文閱讀單題,關於這首曲的分析，下列何者最恰當？,,C
T1409,114,單題,標點符號,根據本文，下列花茶店店員針對顧客需求所給的建議，何者不恰當？,中式花茶依加工方式，可分為三種 : 第一種是成品內沒有花但香氣濃郁的茶，如茉莉花茶 ; 第二種是成品內有花的茶，如玫瑰烏龍茶 ; 第三種是純花茶，成品內沒有茶葉，如菊花茶、蓮花茶等。其中第一種等級最高，又稱「香片」。香片是將乾燥後的茶葉與新鮮的香花依比例混合，靜置陰涼處，等茶葉吸收花的香氣後將花篩除，再烘乾製成。,C
T1410,114,單題,字義,根據本文，下列推論何者最恰當？,「蜂造之蜜出山崖、土穴者十居其八，而人家招蜂造釀而割取者，十居其二也。北方乾燥，土穴所釀多出於此。南方卑溼，故有崖蜜而無穴蜜。西北半天下，蓋與蔗漿分勝云。」,A
T1411,114,單題,古典詩文閱讀單題,根據文意脈絡，關於畫線處文句的解讀，下列何者最恰當？,「旅行回來，一篇遊記常要寫上許久，有的終究沒寫成。有時不知怎麼濃縮剪裁，最後只是一片凌亂的札記和草稿。那些沒寫出來的，只好留待時間去處理了。時間如果不是個偉大的作者，起碼是個傑出的編輯。也許它最後會告訴我：不寫也罷！」,D
T1412,114,單題,現代詩文閱讀單題,根據文意脈絡，甲乙丙丁四處，何者最適合填入標點符號中的冒號？,「我的本行是科學而非文學甲也許這正是我的缺失乙也許這反而是我的長處，無論如何我清楚明白丙科學需要人文的關懷丁而文學需要理性的自覺。」,C
T1413,114,單題,現代詩文閱讀單題,下列文句中的語詞，何者使用最恰當？,X,C
T1414,114,單題,現代詩文閱讀單題,下列文句「」中的字，何者讀音正確？,,A
T1415,114,單題,現代詩文閱讀單題,關於文中《聊齋志異》的說明，下列何者最恰當？,蒲松齡《聊齋誌異》共492篇，包括兩種作品 : 一是幾百字甚至幾十字的奇聞逸事，另一是長達數千言的故事，是真正的短篇小說，兩種作品各占一半。《聊齋誌異》真正的短篇小說能從前人作品找到「本事」(原型)的約百篇，意即近二分之一的篇章不是作者獨創，而是改寫前人作品。魯迅說此書「亦頗有從唐傳奇轉化而出者」。,A
T1416,114,單題,古典詩文閱讀單題, 下列文句，何者用字完全正確？,X,A
T1417,114,單題,國學常識（含文字結構與演變),關於這闋詞的分析，下列何者最恰當？, 祖可〈小重山〉﹕「誰向江頭遺恨濃？碧波流不斷，楚山重。柳煙和雨隔疏鐘。黃昏後，羅幕更朦朧。　　桃李小園空。阿誰1猶笑語，拾殘紅。珠簾捲盡夜來風。人不見，春在綠蕪中。」註:阿誰:何人,C
T1418,114,單題,古典詩文閱讀單題,根據本詩，作者此次訪友之行曾看見下列何者？,皎然〈尋陸鴻漸不遇〉：「移家雖帶郭，野徑入桑麻。近種籬邊菊，秋來未著花。扣門無犬吠，欲去問西家。報道山中去，歸來每日斜。」,D
T1419,114,單題,現代詩文閱讀單題,下列文句中的詞語，何者使用最恰當？,X,A
T1420,114,單題,字音,關於文中人物的敘述，下列何者最恰當？,太祖以事責丞相李善長，劉基言 : 「善長勛舊，能調和諸將。」太祖曰 : 「是數欲害汝，汝竟為之言耶 ? 吾將相汝矣。」基頓首曰 : 「是如易柱，須得大木。若束小木為之，且立覆。」,D
T1421,114,單題,應用文（書信、 題辭、對聯、柬帖、啟事、廣告）,世界盃足球賽在16強賽到4強賽之間採單淘汰制（輸一場即遭淘汰），根據這張賽程表推判，下列結果何者最可能出現?,,D
T1422,114,單題,古典詩文閱讀單題,關於文中的「吾」與賣餅者，下列敘述何者最恰當？,安邑里巷口有賣餅者，吾每早過戶，未嘗不聞其歌。一日，召之與語，貧窘可憐。因與萬錢，令多其本，日取餅以償之。欣然持錢而去。後過其戶，則寂然不聞謳歌之聲。及呼乃至，謂曰 : 「爾何輟歌之遽乎 ? 」曰: 「本流既大，所謀益增，不暇唱曲矣。」,B
T1423,114,單題,古典詩文閱讀單題,關於文中「遠卒守塞」、「募民屯戍」的比較，下列何者最恰當？,「令遠方之卒守塞，一歲而更，不知胡人之能。不如選常居者家室田作，且以備之，以便為之高城深塹。先為室屋、具田器，乃募民免罪、拜爵，予冬夏衣、廩食，能自給而止。塞下之民，祿利不厚，不可使久居危難之地。胡人入驅而能止其所驅者，以其半予之。如是則邑里相救助，赴胡不避死，全親戚而利其財也。此與遠方之戍卒，不習地勢而心畏胡者，功相萬也。」,D
T1424,114,單題,現代詩文閱讀單題,下列何者最符合本文的觀點？,「世傳《碧雲騢》一卷為梅聖俞作，皆歷詆慶曆以來公卿隱過，雖范文正亦不免。議者遂謂聖俞游諸公間，官竟不達，懟而為此以報之。君子成人之美，縱使萬有一不至，猶當為賢者諱，況未必有實。聖俞賢者，豈至是哉？後聞之，乃魏泰所為，嫁之聖俞也。此豈特累諸公，又將以誣聖俞？歐陽文忠《歸田錄》自言不記人之過惡，君子之用心當如此也。」,B
T1425,114,題組,現代詩文閱讀題組,根據本文，下列關於公呆的敘述何者最恰當？,"高二的外孫跟我說了一顆蛤蜊的故事。
這蛤蜊竟然有名字，叫「明」。明是隻北極圓蛤，目前已知最長壽的多細胞動物，活了超過五百年，科學家推估其出生於明朝，於是命名「明」。孫子再三強調：「據說，北極海底，隱藏著比明更老的蛤蜊！」
我也講了另一種蛤蜊的故事給他聽。
在外孫這年紀時，我跟著母親上山下海做各種勞動討生活。那個年代，累得不得了時，抬頭一看，發現大家都辛苦，也就不會覺得自己特別苦。諸多體力活中，我最喜歡到海邊挖「公呆」。
牠們喜歡成群生活在淺灘，若有動物接近，會一起噴水警示。這樣做或許能嚇走水鳥，但正好讓人發現位置，勢眾又跑不快，是不是蛤蜊呆？所以被人叫做公「呆」。
公呆不只呆，還很懶，總是攤平在爛泥表面，只求有層薄土蓋得住殼就好，又動不動就噴水虛張聲勢，更容易被發現。撿拾公呆不須花太多力氣，唯一要注意的是，公呆殼很薄，文蛤閉殼後像石頭，碰撞也不太會破損，但公呆殼用兩根手指一捏就碎裂，所以耙開土的動作要小，輕輕翻開土後再慢慢撿就好。
「外婆，讓人這樣撿，很快會絕種！」講環保的一代不滿地抗議。
「你以為所有蛤蜊都像那隻明，能活五百年？公呆本就活不過一年，秋天一到，天氣一冷，沒被吃掉，牠們也成群成群死掉，全變成白殼骨。」
孫子說：「外婆，公呆不是因為懶惰而不潛得更深來保護自己，牠們實在是殼太薄，承受不了壓力，才會攤平在淺灘上！反正一輩子也沒多長，一起躺好晒晒太陽，還能趁活著時，享受一點溫暖和陪伴。要是像明一樣，活在冰冷的北極深海裡，公呆們應該是受不了的。」
果然在躺平年代裡，更容易理解躺平生物。
──改寫自毓秀〈公呆〉
",B
T1426,114,題組,現代詩文閱讀題組,關於本文的寫作分析，下列何者最恰當？,"高二的外孫跟我說了一顆蛤蜊的故事。
這蛤蜊竟然有名字，叫「明」。明是隻北極圓蛤，目前已知最長壽的多細胞動物，活了超過五百年，科學家推估其出生於明朝，於是命名「明」。孫子再三強調：「據說，北極海底，隱藏著比明更老的蛤蜊！」
我也講了另一種蛤蜊的故事給他聽。
在外孫這年紀時，我跟著母親上山下海做各種勞動討生活。那個年代，累得不得了時，抬頭一看，發現大家都辛苦，也就不會覺得自己特別苦。諸多體力活中，我最喜歡到海邊挖「公呆」。
牠們喜歡成群生活在淺灘，若有動物接近，會一起噴水警示。這樣做或許能嚇走水鳥，但正好讓人發現位置，勢眾又跑不快，是不是蛤蜊呆？所以被人叫做公「呆」。
公呆不只呆，還很懶，總是攤平在爛泥表面，只求有層薄土蓋得住殼就好，又動不動就噴水虛張聲勢，更容易被發現。撿拾公呆不須花太多力氣，唯一要注意的是，公呆殼很薄，文蛤閉殼後像石頭，碰撞也不太會破損，但公呆殼用兩根手指一捏就碎裂，所以耙開土的動作要小，輕輕翻開土後再慢慢撿就好。
「外婆，讓人這樣撿，很快會絕種！」講環保的一代不滿地抗議。
「你以為所有蛤蜊都像那隻明，能活五百年？公呆本就活不過一年，秋天一到，天氣一冷，沒被吃掉，牠們也成群成群死掉，全變成白殼骨。」
孫子說：「外婆，公呆不是因為懶惰而不潛得更深來保護自己，牠們實在是殼太薄，承受不了壓力，才會攤平在淺灘上！反正一輩子也沒多長，一起躺好晒晒太陽，還能趁活著時，享受一點溫暖和陪伴。要是像明一樣，活在冰冷的北極深海裡，公呆們應該是受不了的。」
果然在躺平年代裡，更容易理解躺平生物。
──改寫自毓秀〈公呆〉
",A
T1427,114,題組,現代詩文閱讀題組,"灰面鵟鷹是過境臺灣的候鳥。每年十月起，牠們遠從日本、西伯利亞或中國東北而來，經過墾丁，前往菲律賓的度冬地，到了三月，再集結北返。
研究灰面鵟鷹十多年的人員曾經透過無線電追蹤，了解牠們的遷徙路線。春季牠們會從度冬地開始北遷，一條路線是從臺灣東南外海的蘭嶼，經過琉球北上，回到日本繁殖地。另一條路線則是從臺灣的西岸通過，回到中國東北、北韓或日本一帶。位在臺灣中部的八卦山，因為地理位置而成為牠們重要的休息站。
每年春天，成千上萬的灰面鵟鷹從南方來，彰化人稱牠們「南路鷹」。八卦山的次生林環境，提供了豐富的食物來源。另外，猛禽遷徙過程依靠氣流滑翔，必須利用山脈地形，尋找上升氣流，再提升高度，八卦山正好就提供這樣的地理條件。
──改寫自〈留住八卦驛站〉
小原根據本文與圖(一)畫了一張灰面鵟鷹遷徙路線圖，如圖(二)。小嵐認為小原在圖中標示的遷徙路線有疏漏和錯誤，他提出了下列說法。對照本文後，何者可以成立？",,B
T1428,114,題組,現代詩文閱讀題組,根據本文，八卦山成為灰面鵟鷹重要休息站的原因，最可能是下列何者？,"灰面鵟鷹是過境臺灣的候鳥。每年十月起，牠們遠從日本、西伯利亞或中國東北而來，經過墾丁，前往菲律賓的度冬地，到了三月，再集結北返。
研究灰面鵟鷹十多年的人員曾經透過無線電追蹤，了解牠們的遷徙路線。春季牠們會從度冬地開始北遷，一條路線是從臺灣東南外海的蘭嶼，經過琉球北上，回到日本繁殖地。另一條路線則是從臺灣的西岸通過，回到中國東北、北韓或日本一帶。位在臺灣中部的八卦山，因為地理位置而成為牠們重要的休息站。
每年春天，成千上萬的灰面鵟鷹從南方來，彰化人稱牠們「南路鷹」。八卦山的次生林環境，提供了豐富的食物來源。另外，猛禽遷徙過程依靠氣流滑翔，必須利用山脈地形，尋找上升氣流，再提升高度，八卦山正好就提供這樣的地理條件。
──改寫自〈留住八卦驛站〉
",C
T1429,114,題組,現代詩文閱讀題組,根據甲文，關於劇本的創作，下列敘述何者最恰當？,"【甲】電影大師希區考克曾說：「製作一部偉大的電影需要三樣東西：劇本、劇本、劇本。」由此可見劇本對電影的重要性。在劇本中，對白固然重要，但劇本必須深植於令人感覺真實的世界裡，才能有生命，也才能攫住觀眾。而視覺化寫作，就能創造出這個世界來。
劇本中的視覺化寫作指的是：除了對白之外的所有部分，亦即視覺描述。任何試圖藉由文字勾勒出圖像的描寫方式，就是視覺化寫作。視覺化寫作的要素有以下四種：
一、場景外觀：劇中的地點看起來如何？須具體寫出地點的獨特之處。別只是說廚房裡有爐子和冰箱，而要說出這個廚房的特色。
二、場景事件：場景中發生什麼事？火車呼嘯而過？小鳥飛過窗邊？角色周遭有什麼正在發生？
三、角色外貌：劇中角色看起來是整潔體面還是不修邊幅？雙眼有神還是疲憊？他們穿的是制服或是便服？劇本作者選擇的視覺細節會透露角色的性格及當下的狀態。
四、角色行動：角色如何行動？當這個角色聽見別人對他說「我愛你」，他是低頭沉默或歡喜地跳起來？角色的肢體動作可以反映出他們的心理。
──改寫自〈視覺化寫作：4個電影劇本範例〉
【乙】室內　安德魯的練習室
安德魯正在陰暗狹小的練習室裡，試著打出雙跳。在他左前方銀灰色譜架上的電子節拍器，正在閃爍，紅色的電子數字顯示目前速度設定在380。
安德魯停下，重新設定為390。又繼續打擊。試著跟上。再調整節拍器到400。現在完全跟不上。全力以赴、汗流浹背、雙手起泡，這時──
喀啦。安德魯的右鼓棒斷成兩半。
他停下來。疲憊。看著自己的手。渾身冒汗，雙手發痛。
回頭看節拍器。仍在嗶嗶作響。他將它關上。
抬頭看海報中的人物──巴迪．瑞奇俯在鼓上。
──改寫自電影劇本《進擊的鼓手》
",C
T1430,114,題組,現代詩文閱讀題組,關於乙劇本的寫作分析，下列何者最恰當？,"【甲】電影大師希區考克曾說：「製作一部偉大的電影需要三樣東西：劇本、劇本、劇本。」由此可見劇本對電影的重要性。在劇本中，對白固然重要，但劇本必須深植於令人感覺真實的世界裡，才能有生命，也才能攫住觀眾。而視覺化寫作，就能創造出這個世界來。
劇本中的視覺化寫作指的是：除了對白之外的所有部分，亦即視覺描述。任何試圖藉由文字勾勒出圖像的描寫方式，就是視覺化寫作。視覺化寫作的要素有以下四種：
一、場景外觀：劇中的地點看起來如何？須具體寫出地點的獨特之處。別只是說廚房裡有爐子和冰箱，而要說出這個廚房的特色。
二、場景事件：場景中發生什麼事？火車呼嘯而過？小鳥飛過窗邊？角色周遭有什麼正在發生？
三、角色外貌：劇中角色看起來是整潔體面還是不修邊幅？雙眼有神還是疲憊？他們穿的是制服或是便服？劇本作者選擇的視覺細節會透露角色的性格及當下的狀態。
四、角色行動：角色如何行動？當這個角色聽見別人對他說「我愛你」，他是低頭沉默或歡喜地跳起來？角色的肢體動作可以反映出他們的心理。
──改寫自〈視覺化寫作：4個電影劇本範例〉
【乙】室內　安德魯的練習室
安德魯正在陰暗狹小的練習室裡，試著打出雙跳。在他左前方銀灰色譜架上的電子節拍器，正在閃爍，紅色的電子數字顯示目前速度設定在380。
安德魯停下，重新設定為390。又繼續打擊。試著跟上。再調整節拍器到400。現在完全跟不上。全力以赴、汗流浹背、雙手起泡，這時──
喀啦。安德魯的右鼓棒斷成兩半。
他停下來。疲憊。看著自己的手。渾身冒汗，雙手發痛。
回頭看節拍器。仍在嗶嗶作響。他將它關上。
抬頭看海報中的人物──巴迪．瑞奇俯在鼓上。
──改寫自電影劇本《進擊的鼓手》
",D
T1431,114,題組,現代詩文閱讀題組,乙劇本畫線處的文句，最無法呼應甲文中哪一項視覺化寫作的要素？,"【甲】電影大師希區考克曾說：「製作一部偉大的電影需要三樣東西：劇本、劇本、劇本。」由此可見劇本對電影的重要性。在劇本中，對白固然重要，但劇本必須深植於令人感覺真實的世界裡，才能有生命，也才能攫住觀眾。而視覺化寫作，就能創造出這個世界來。
劇本中的視覺化寫作指的是：除了對白之外的所有部分，亦即視覺描述。任何試圖藉由文字勾勒出圖像的描寫方式，就是視覺化寫作。視覺化寫作的要素有以下四種：
一、場景外觀：劇中的地點看起來如何？須具體寫出地點的獨特之處。別只是說廚房裡有爐子和冰箱，而要說出這個廚房的特色。
二、場景事件：場景中發生什麼事？火車呼嘯而過？小鳥飛過窗邊？角色周遭有什麼正在發生？
三、角色外貌：劇中角色看起來是整潔體面還是不修邊幅？雙眼有神還是疲憊？他們穿的是制服或是便服？劇本作者選擇的視覺細節會透露角色的性格及當下的狀態。
四、角色行動：角色如何行動？當這個角色聽見別人對他說「我愛你」，他是低頭沉默或歡喜地跳起來？角色的肢體動作可以反映出他們的心理。
──改寫自〈視覺化寫作：4個電影劇本範例〉
【乙】室內　安德魯的練習室
安德魯正在陰暗狹小的練習室裡，試著打出雙跳。在他左前方銀灰色譜架上的電子節拍器，正在閃爍，紅色的電子數字顯示目前速度設定在380。
安德魯停下，重新設定為390。又繼續打擊。試著跟上。再調整節拍器到400。現在完全跟不上。全力以赴、汗流浹背、雙手起泡，這時──
喀啦。安德魯的右鼓棒斷成兩半。
他停下來。疲憊。看著自己的手。渾身冒汗，雙手發痛。
回頭看節拍器。仍在嗶嗶作響。他將它關上。
抬頭看海報中的人物──巴迪．瑞奇俯在鼓上。
──改寫自電影劇本《進擊的鼓手》
",C
T1432,114,題組,現代詩文閱讀題組, 根據本文，那些人不停追問他人到底賺多少錢，其原因最不可能是下列何者？,"這個社會非常擔心沒有錢，所以實體化成一個一個「別人」，來問我們現在到底賺多少錢，將來能賺多少錢。問這些問題的人未必心裡有個數，知道多少錢叫做足夠。他們並不關切生活品質、工作熱忱、自我實現、健康狀態、人生信念，這些無形價值能不能在金錢天秤上等價換算，一心只想問出個金額，好與其他四處蒐羅而來的金額比大小。巨大的金額令他們心生羨嫉，微薄的金額則引發他們的焦慮，並且順手潑溼我們對未來的樂觀盼想。賺錢需要付出的代價從來都不便宜，要把「夠」放在哪個金額上，或許很難決定，但是出賣自我、夢想、健康、幸福、信念，到了「夠」的時候，沒有人能不說夠。
──江鵝《俗女養成記》",C
T1433,114,題組,古典詩文閱讀題組,根據文意脈絡，畫線處文句的涵義，與下列何者最接近？,"這個社會非常擔心沒有錢，所以實體化成一個一個「別人」，來問我們現在到底賺多少錢，將來能賺多少錢。問這些問題的人未必心裡有個數，知道多少錢叫做足夠。他們並不關切生活品質、工作熱忱、自我實現、健康狀態、人生信念，這些無形價值能不能在金錢天秤上等價換算，一心只想問出個金額，好與其他四處蒐羅而來的金額比大小。巨大的金額令他們心生羨嫉，微薄的金額則引發他們的焦慮，並且順手潑溼我們對未來的樂觀盼想。賺錢需要付出的代價從來都不便宜，要把「夠」放在哪個金額上，或許很難決定，但是出賣自我、夢想、健康、幸福、信念，到了「夠」的時候，沒有人能不說夠。
──江鵝《俗女養成記》",D
T1434,114,題組,古典詩文閱讀題組,根據本文，下列店家的說明何者最不可能是「縮水式漲價」？,"包裝袋裡的空氣比洋芋片多？盒內的穀片變少了？這都不是你的錯覺，廠商這種「價格不變、分量減少」的「縮水式漲價」策略已重出江湖。近來許多商品以「偷斤減兩」的方式變相漲價，從衛生紙、早餐穀片到貓罐頭都有。
某些品牌為了避免顧客看到售價上漲，採用「縮水式漲價」，讓顧客支付一樣的價格，但產品內容變少。甚至以更極端的手法「剋扣式漲價」，表面上價格不變，產品品質卻下降。
調查發現，62%受調者表示，如果採用縮水式或剋扣式漲價，他們可能停止購買該產品，比單純漲價的反應還激烈。與其再繼續使用蹩腳的漲價方式，一些企業選擇走另一條路，比如：推出銅板價格的小包裝新品項，或是用搭售方式，讓消費者誤以為買到更便宜的產品。如此一來，消費者不易與原先的價格比較，也就緩和了抗拒購買的心理。
──改寫自《商業周刊》
",A
T1435,114,題組,古典詩文閱讀題組,根據本文，消費者對企業選擇的「另一條路」較不抗拒的原因，最可能是下列何者？,"包裝袋裡的空氣比洋芋片多？盒內的穀片變少了？這都不是你的錯覺，廠商這種「價格不變、分量減少」的「縮水式漲價」策略已重出江湖。近來許多商品以「偷斤減兩」的方式變相漲價，從衛生紙、早餐穀片到貓罐頭都有。
某些品牌為了避免顧客看到售價上漲，採用「縮水式漲價」，讓顧客支付一樣的價格，但產品內容變少。甚至以更極端的手法「剋扣式漲價」，表面上價格不變，產品品質卻下降。
調查發現，62%受調者表示，如果採用縮水式或剋扣式漲價，他們可能停止購買該產品，比單純漲價的反應還激烈。與其再繼續使用蹩腳的漲價方式，一些企業選擇走另一條路，比如：推出銅板價格的小包裝新品項，或是用搭售方式，讓消費者誤以為買到更便宜的產品。如此一來，消費者不易與原先的價格比較，也就緩和了抗拒購買的心理。
──改寫自《商業周刊》
",D
T1436,114,題組,古典詩文閱讀題組,關於文中新、舊《五代史》對南唐君主的記載，下列敘述何者最恰當？,"五代十國是指唐亡後至宋建國前，在各地分立興亡的諸國。當時北方有五個政權遞嬗的王朝，稱為「五代」。南方有十個並存的國家，稱為「十國」。以下短文是根據這樣的時代背景論述，請閱讀並回答36〜37題：南唐 後主 李煜跪在明德樓前，白衣素袍，向宋太祖 趙匡胤歸降時，內心肯定百感交集。他想過以後的歷史，怎麼寫他嗎？《舊五代史》直接把十國裡凡稱帝的都貶為「僭偽列傳」，南唐當然也逃不了。《新五代史》稍稍客氣，但也僅以「世家1」定位。《舊五代史》南唐部分只寫到烈主 李昪、中主 李璟，並沒有後主 李煜。《新五代史》雖提及李後主，但入宋的部分不寫。
為何新、舊《五代史》如此定位？這就必須了解中國史家重視傳統王朝興替的「正統情結」。趙匡胤是借「陳橋兵變」、「黃袍加身」而當上皇帝，其政權正當性，乃繼承北方中原的政權更替。以此史觀來看，唐朝滅亡後在中原相繼更迭的北方政權：後梁、後唐、後晉、後漢、後周，便被視為正統，其他政權則被視為僭越。
然而紛亂的五代十國，主戰場就在北方中原。五代國祚最短的是後漢，三年多換了兩個君主。最長的是後梁，十七年四個皇帝。何況，五代王位之爭，經常是血腥暴力、骨肉相殘，朝廷難有建樹，更談不上人文建設、經濟民生。
「君王唯兵強馬壯者得之」，五代帝王幾乎沒幾位是有高度文化修養的。反倒是十國裡的南唐前後維持近四十年，只經歷三個皇帝，沒有繼承權的紛亂，政權相對穩定。且南唐三位國君都重視文教，珍藏圖書，蒐羅書畫，建立教坊，網羅畫師，一時之間南唐成了文化重鎮。宋朝雖然滅了南唐，可是汴京皇城裡的文化資產，有多少是來自南唐啊！
──改寫自蔡詩萍《李後主事件簿》
註: 世家 : 紀傳體史書體例之一，諸侯王傳記的體例為「世家」，帝王則為「本紀」 ",B
T1437,114,題組,古典詩文閱讀題組,根據本文，下列何者最接近作者的觀點？,"五代十國是指唐亡後至宋建國前，在各地分立興亡的諸國。當時北方有五個政權遞嬗的王朝，稱為「五代」。南方有十個並存的國家，稱為「十國」。以下短文是根據這樣的時代背景論述，請閱讀並回答36〜37題：南唐 後主 李煜跪在明德樓前，白衣素袍，向宋太祖 趙匡胤歸降時，內心肯定百感交集。他想過以後的歷史，怎麼寫他嗎？《舊五代史》直接把十國裡凡稱帝的都貶為「僭偽列傳」，南唐當然也逃不了。《新五代史》稍稍客氣，但也僅以「世家1」定位。《舊五代史》南唐部分只寫到烈主 李昪、中主 李璟，並沒有後主 李煜。《新五代史》雖提及李後主，但入宋的部分不寫。
為何新、舊《五代史》如此定位？這就必須了解中國史家重視傳統王朝興替的「正統情結」。趙匡胤是借「陳橋兵變」、「黃袍加身」而當上皇帝，其政權正當性，乃繼承北方中原的政權更替。以此史觀來看，唐朝滅亡後在中原相繼更迭的北方政權：後梁、後唐、後晉、後漢、後周，便被視為正統，其他政權則被視為僭越。
然而紛亂的五代十國，主戰場就在北方中原。五代國祚最短的是後漢，三年多換了兩個君主。最長的是後梁，十七年四個皇帝。何況，五代王位之爭，經常是血腥暴力、骨肉相殘，朝廷難有建樹，更談不上人文建設、經濟民生。
「君王唯兵強馬壯者得之」，五代帝王幾乎沒幾位是有高度文化修養的。反倒是十國裡的南唐前後維持近四十年，只經歷三個皇帝，沒有繼承權的紛亂，政權相對穩定。且南唐三位國君都重視文教，珍藏圖書，蒐羅書畫，建立教坊，網羅畫師，一時之間南唐成了文化重鎮。宋朝雖然滅了南唐，可是汴京皇城裡的文化資產，有多少是來自南唐啊！
──改寫自蔡詩萍《李後主事件簿》
註: 世家 : 紀傳體史書體例之一，諸侯王傳記的體例為「世家」，帝王則為「本紀」 ",C
T1438,114,題組,古典詩文閱讀題組,下列何者最可能是文中人物的親屬關係示意圖？,"公子光之父曰吳王 諸樊。諸樊弟三人：次曰餘祭，次曰夷眛，次曰季子札。諸樊知季子札賢而不立太子，以次傳三弟，欲卒致國於季子札。諸樊既死，傳餘祭。餘祭死，傳夷眛。夷眛死，當傳季子札。季子札逃不肯立，吳人乃立夷眛之子僚為王。公子光曰：「使以兄弟次邪，季子當立；必以子乎，則光真嫡嗣，當立。」
──改寫自司馬遷《史記》",A
T1439,114,題組,古典詩文閱讀題組,根據本文，公子光 最無法接受誰擔任吳王？,"公子光之父曰吳王 諸樊。諸樊弟三人：次曰餘祭，次曰夷眛，次曰季子札。諸樊知季子札賢而不立太子，以次傳三弟，欲卒致國於季子札。諸樊既死，傳餘祭。餘祭死，傳夷眛。夷眛死，當傳季子札。季子札逃不肯立，吳人乃立夷眛之子僚為王。公子光曰：「使以兄弟次邪，季子當立；必以子乎，則光真嫡嗣，當立。」
──改寫自司馬遷《史記》",D
T1440,114,題組,古典詩文閱讀題組,根據文意脈絡，下列「」中的詞語，何者替換後意義仍相同？,"日前令郎訪逮，出手筆並石月屏為贈，捧玩不勝愧喜。比來，數於都下朋從處見此屏，觀其天質圓瑩，非刻非繪，如秋高氣清，迥然在望，信乎天地之異氣、山澤之殊寶也。素心悅之，無從可得，豈意一旦不煩懇請，坐致握中。性本疏野，雅叶1所欲，雖受文錦十純2，白璧百雙，在光之愚，未為重賜。俗故忽忽，久不遑修謝，尤增悚懼。令郎注官3甚便，想加慰喜，未期接侍，倍希珍厚。
──改寫自司馬光〈答薛虢州謝石月屏書〉
註 : 1.叶 : 音ㄒㄧㄝˊ ，符合 2.純 : 計量單位，布帛一段為一純 3. 注官 : 按照當時的官制授權",B
T1441,114,題組,現代詩文閱讀題組,關於文中的石月屏，下列敘述何者最恰當？,"日前令郎訪逮，出手筆並石月屏為贈，捧玩不勝愧喜。比來，數於都下朋從處見此屏，觀其天質圓瑩，非刻非繪，如秋高氣清，迥然在望，信乎天地之異氣、山澤之殊寶也。素心悅之，無從可得，豈意一旦不煩懇請，坐致握中。性本疏野，雅叶1所欲，雖受文錦十純2，白璧百雙，在光之愚，未為重賜。俗故忽忽，久不遑修謝，尤增悚懼。令郎注官3甚便，想加慰喜，未期接侍，倍希珍厚。
──改寫自司馬光〈答薛虢州謝石月屏書〉
註 : 1.叶 : 音ㄒㄧㄝˊ ，符合 2.純 : 計量單位，布帛一段為一純 3. 注官 : 按照當時的官制授權",D
T1442,114,題組,現代詩文閱讀題組,根據本文，下列何者最可能是司馬光收下石月屏後的反應？,"日前令郎訪逮，出手筆並石月屏為贈，捧玩不勝愧喜。比來，數於都下朋從處見此屏，觀其天質圓瑩，非刻非繪，如秋高氣清，迥然在望，信乎天地之異氣、山澤之殊寶也。素心悅之，無從可得，豈意一旦不煩懇請，坐致握中。性本疏野，雅叶1所欲，雖受文錦十純2，白璧百雙，在光之愚，未為重賜。俗故忽忽，久不遑修謝，尤增悚懼。令郎注官3甚便，想加慰喜，未期接侍，倍希珍厚。
──改寫自司馬光〈答薛虢州謝石月屏書〉
註 : 1.叶 : 音ㄒㄧㄝˊ ，符合 2.純 : 計量單位，布帛一段為一純 3. 注官 : 按照當時的官制授權",B