id,question_id,選項A,選項B,選項C,選項D,
S0901,T0901,冒汗而體溫正常的小健,體溫過高不出汗的小康,大量流汗虛弱頭暈的小平,心跳加速體溫正常的小安,
S0902,T0902,強化資優教育，培養菁英,提倡忍讓，加強品格教育,視學生資質，給予適當教導,無論良與莠，一個都不放棄,
S0903,T0903,人生的競賽往往是暗潮洶湧的,臺前風光是背後汗水累積而成,勝敗皆由天定，無須怨天尤人,堅持到底的人才是最後的贏家,
S0904,T0904,城市松鼠會因環境改變毛色,"城市松鼠會以垂下尾巴示警",鄉下松鼠對威脅的反應較慢,鄉下松鼠以吱吱叫驅趕敵人,
S0905,T0905,小畢認為善惡終有報,阿文的想法傾向樂觀,凱哥同意小畢的觀點,小安的看法近於小畢,
S0906,T0906,酒後不開車，未免發生事故,見到故居破敗，不免有些傷感,他毫無商量餘地，避免不近人情,他決心改正遲到毛病，難免受處罰,
S0907,T0907,,,,,
S0908,T0908,持續寫作，就能成就不朽的巨作,創作應力求突破窠臼，不斷創新,師法各家作品，塑造自我的風格,嘗試不同的生活，激發創作靈感,
S0909,T0909,， 。 ；,， ； 、,： ， ，,"： 。 、",
S0910,T0910,「得」過且過,相「得」益彰,忘懷「得」失,洋洋自「得」,
S0911,T0911,本詩為一韻到底的五言律詩,以飲美酒比喻午後昏昏欲睡的狀態,以飲美酒比喻午後昏昏欲睡的狀態,以飲美酒比喻午後昏昏欲睡的狀態,
S0912,T0912,以林布蘭的畫當作舞臺背景,作品在臺灣舞評界享有盛名,能恰如其分的襯托舞臺演出,國外舞評極少注意他的設計,
S0913,T0913,精神勝於物質,實用重於美觀,勞力者不遜於勞心者,拿筆者比不上拿鋤者,
S0914,T0914,使用者交付行蹤與通訊內容是為了讓業者蒐集個資,Google與LINE的安全機制可以有效防止個資外流,「當事人同意」及「用於特定目的」讓業者可合法處理個資,「個人資料保護法」規定若不同意交付個資就不能使用服務,
S0915,T0915,分離,收納,時間,理想,
S0916,T0916,刺青內容取自白詩,獲贈白舍人行詩圖,主動展示身上的圖文,詩句圖文皆刺在背部,
S0917,T0917,安,寄,宵,宇,
S0918,T0918,祭祀鬼神，心誠則靈,勤慎用兵，以誠為本,慎可以醫惰，勤可以醫驕,修身首重勤，次為慎，終為誠,
S0919,T0919,35%的英國人只喝冷水不喝熱茶,至少65%的英國人意識到自己煮了過多的水,英國多數的電水壺一次只能煮出一杯茶的水量,點亮英國一整晚燈的電量相當於使用電水壺一天,
S0920,T0920,他對朋友的要求總是「慨」然應允：ㄍㄞˋ,「囿」於成見，他一直排斥這項工作：ㄧㄡˋ,警方追捕多年的通「緝」犯，終於在今日落網：ㄐㄧˊ,,這家公司處理消費糾紛的過程粗「糙」，引起民眾反彈：ㄗㄠˋ
S0921,T0921,"王爺爺之子：「林先生、林太太，歡迎賢伉儷大
駕光臨。」林先生：「敝伉儷恭賀令堂生日快樂。」","張先生：「王爺爺，祝您生日快樂。」
王爺爺：「小張，歡迎你光臨貴府。」","李太太：「王大哥，看你們賢喬梓父慈子孝，令
人好生羨慕！」王爺爺之子：「託您的福。」","王奶奶：「很榮幸內人我可以替您服務。」
陳太太：「不敢，麻煩王奶奶了。」",
S0922,T0922,可因國情不同而修改內容,首要關鍵在於音律的和諧,應避免以華麗辭藻干擾文意,保留原文形式之美並不容易,
S0923,T0923,用字遣詞多落入俗套,數字對仗工整，可稱佳作,詩句用字精確，傳誦千古,「一」字影響了詩句的意境,
S0924,T0924,先入為主的成見，常會影響我們的判斷,做任何事都要有決心與鬥志，才能成功,昇華與墮落在一念之間，端看如何選擇,看事情的角度因人而異，無絕對的是非,
S0925,T0925,母親的冬瓜湯會加入泡發的香菇和干貝,賈媽媽的冬瓜盅須用蝦米和蔥爆香油鍋,作者覺得吃過最好的料理是母親的冬瓜湯,作者認為賈媽媽的冬瓜盅的做法較為繁複,
S0926,T0926,以倒敘的手法鋪陳對冬瓜料理的情感,依序使用視覺、聽覺、嗅覺來摹寫冬瓜盅,藉著容易煮透的冬瓜思索不易透澈的人生,由多年後再喝母親的冬瓜湯勾起童年的回憶,
S0927,T0927,暗示太史公刻意留下疑點，以提供後世研究,說明真實的歷史無法還原，但可以逐步接近,證實太史公看過的史料，現今都還保存完整,強調史料若未經過驗證，易流於空泛的懷疑,
S0928,T0928,「歷史」的研究是為了追求「歷史的真實」,「歷史學」不斷進步可得到「真實的歷史」,史書記載絕對可信，不容後人缺乏實據的懷疑,為了增加史書的可讀性，作者多半會虛構情節,
S0929,T0929,不以直覺判斷，立場完全客觀,透過理性思辨，達到預期結果,摒棄同理心和價值觀，且不計後果,遵循固定的模式，無法隨時代更新,
S0930,T0930,人類應審慎地發展科技,科技將掌控人類的生活,人工智慧是科技發展的威脅,社會進步來自於科技的發展,
S0931,T0931,"一般人只注意生活中的衣食所需，卻忽略了大
自然的雄偉壯麗","表面上貧瘠的土地，卻可能有肥沃的土壤，能
生長出多樣的植物",,"具備足夠的審美能力，就能從看似單調的景觀
裡發現豐富的生命力","只要用心經營，將歷史的經驗與現實的體會相
結合，便可改造土地"
S0932,T0932,甲,乙,丙,丁,
S0933,T0933,"再三懇請父親出來宴客",多次詢問小室命名由來,屢次延請賓客前往休憩,頻頻敦請姻賓離室用餐,
S0934,T0934,兒童遊戲場,商場試衣間,婚禮宴會廳,賓客休息室,
S0935,T0935,"「孰」能磨之：難道",朝夕相與「俱」：具備,主然而違者，「替」之：改變,「接」之以道：招待,
S0936,T0936,大臣輔政須能執行上意,大臣應經磨練方能輔政,國君擇臣宜摒除個人好惡,國君所習攸關天下之治亂,
S0937,T0937,張循王尋回皇上舊物，特意奉還,"高宗遣鋪家尋找失物，屢尋不獲",廚娘之語，可佐證扇墜曾落水中,廚娘得到扇墜，售予清河坊鋪家,
S0938,T0938,藉對話凸顯故事中所有人物的個性,"以諷喻手法，勸告世人當拾金不昧",以抽絲剝繭的方式，層層鋪敘情節,文末未提故事結局，製造懸疑效果,
S0939,T0939,"（ ）工多而用寡──秦始皇",（ ）乃變篆籀之體為隸書──筆札,（ ）三徵入秦──王次,（ ）落二翮於峰巒──大鳥,
S0940,T0940,次仲因擅自改革文字觸怒始皇，而遭逮捕,始皇過於急功好利，故次仲出走轉而修道,次仲將篆籀之體改為隸書，方便世人使用,"仙鳥中始皇之箭，落羽成大翮、小翮二山",
S0941,T0941,西芳寺開放整理青苔的工作，但須事先以明信片預約申請,"京都佛寺大多保持原木色調，不同於中國唐宋佛寺的風格",京都約有兩千間佛寺，其中有十七處佛寺被列為世界文化遺產,嵐山一帶的嵯峨野地區不論新舊建設或土地開墾，都需經過核可,
S0942,T0942,佛教式微不利於佛寺建築的保存,"可透過佛寺來瞭解京都傳統文化",唐宋佛寺多為紅漆黑瓦的木造建築,古蹟要維持風貌須整體環境的配合,